,과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역
314,대학영어회화1,0APR1171,18,2.0,스테판,화5~6,기초교양, 
315,대학영어회화1,0APR1171,19,2.0,사무엘,화5~6,기초교양, 
316,대학영어회화1,0APR1171,20,2.0,데이비드 데보라,수1~2,기초교양, 
317,대학영어회화1,0APR1171,21,2.0,켄딕슨,수1~2,기초교양, 
318,대학영어회화1,0APR1171,22,2.0,스테판,수1~2,기초교양, 
319,대학영어회화1,0APR1171,23,2.0,데이비드 데보라,수7~8,기초교양, 
320,대학영어회화1,0APR1171,24,2.0,켄딕슨,수7~8,기초교양, 
321,대학영어회화1,0APR1171,25,2.0,데렉 존 토마스,월3~4,기초교양, 
322,대학영어회화1,0APR1171,26,2.0,로나 워싱턴,월3~4,기초교양, 
323,대학영어회화1,0APR1171,27,2.0,스테판,월3~4,기초교양, 
324,대학영어회화1,0APR1171,28,2.0,데렉 존 토마스,목1~2,기초교양, 
325,대학영어회화1,0APR1171,29,2.0,캐스퍼,목1~2,기초교양, 
326,대학영어회화1,0APR1171,30,2.0,로나 워싱턴,목1~2,기초교양, 
327,대학영어회화1,0APR1171,31,2.0,아산티 매튜,목1~2,기초교양, 
328,대학영어회화1,0APR1171,32,2.0,사무엘,목1~2,기초교양, 
329,대학영어회화1,0APR1171,33,2.0,다니엘와이버그,월1~2,기초교양, 
330,대학영어회화1,0APR1171,34,2.0,브라이언,월1~2,기초교양, 
331,대학영어회화1,0APR1171,35,2.0,켄딕슨,월1~2,기초교양, 
332,대학영어회화1,0APR1171,36,2.0,매튜,월1~2,기초교양, 
333,대학영어회화1,0APR1171,37,2.0,다니엘베리,월1~2,기초교양, 
334,대학영어회화1,0APR1171,38,2.0,바이런,월1~2,기초교양, 
335,대학영어회화1,0APR1171,39,2.0,마이클,월1~2,기초교양, 
336,대학영어회화1,0APR1171,40,2.0,최승준,월1~2,기초교양, 
337,대학영어회화1,0APR1171,41,2.0,제임스,월1~2,기초교양, 
338,대학영어회화1,0APR1171,42,2.0,피터안토니,월1~2,기초교양, 
339,대학영어회화1,0APR1171,43,2.0,텐진 버제스,월1~2,기초교양, 
340,대학영어회화1,0APR1171,44,2.0,다니엘와이버그,월5~6,기초교양, 
341,대학영어회화1,0APR1171,45,2.0,브라이언,월5~6,기초교양, 
342,대학영어회화1,0APR1171,46,2.0,켄딕슨,월5~6,기초교양, 
343,대학영어회화1,0APR1171,47,2.0,매튜,월5~6,기초교양, 
344,대학영어회화1,0APR1171,48,2.0,다니엘베리,월5~6,기초교양, 
345,대학영어회화1,0APR1171,49,2.0,바이런,월5~6,기초교양, 
346,대학영어회화1,0APR1171,50,2.0,마이클,월5~6,기초교양, 
347,대학영어회화1,0APR1171,51,2.0,최승준,월5~6,기초교양, 
348,대학영어회화1,0APR1171,52,2.0,제임스,월5~6,기초교양, 
349,대학영어회화1,0APR1171,53,2.0,피터안토니,월5~6,기초교양, 
350,대학영어회화1,0APR1171,54,2.0,벤자민 스웬슨,월5~6,기초교양, 
351,대학영어회화1,0APR1171,55,2.0,텐진 버제스,월5~6,기초교양, 
352,대학영어회화1,0APR1171,56,2.0,다니엘베리,월7~8,기초교양, 
353,대학영어회화1,0APR1171,57,2.0,바이런,월7~8,기초교양, 
354,대학영어회화1,0APR1171,58,2.0,마이클,월7~8,기초교양, 
355,대학영어회화1,0APR1171,59,2.0,유진박,월7~8,기초교양, 
356,대학영어회화1,0APR1171,60,2.0,최승준,월7~8,기초교양, 
357,대학영어회화1,0APR1171,61,2.0,피터안토니,월7~8,기초교양, 
358,대학영어회화1,0APR1171,62,2.0,벤자민 스웬슨,월7~8,기초교양, 
359,대학영어회화1,0APR1171,63,2.0,텐진 버제스,월7~8,기초교양, 
360,대학영어회화1,0APR1171,64,2.0,조나단 레이커,월7~8,기초교양, 
361,대학영어회화1,0APR1171,65,2.0,알렉산더,월7~8,기초교양, 
362,대학영어회화1,0APR1171,66,2.0,브라이언,월7~8,기초교양, 
363,대학영어회화1,0APR1171,67,2.0,바이런,화1~2,기초교양, 
364,대학영어회화1,0APR1171,68,2.0,유진박,화1~2,기초교양, 
365,대학영어회화1,0APR1171,69,2.0,권지영,화1~2,기초교양, 
366,대학영어회화1,0APR1171,70,2.0,피터안토니,화1~2,기초교양, 
367,대학영어회화1,0APR1171,71,2.0,벤자민 스웬슨,화1~2,기초교양, 
368,대학영어회화1,0APR1171,72,2.0,텐진 버제스,화1~2,기초교양, 
369,대학영어회화1,0APR1171,73,2.0,조나단 레이커,화1~2,기초교양, 
370,대학영어회화1,0APR1171,74,2.0,브라이언,화5~6,기초교양, 
371,대학영어회화1,0APR1171,75,2.0,마이클,화5~6,기초교양, 
372,대학영어회화1,0APR1171,76,2.0,벤자민 스웬슨,화5~6,기초교양, 
373,대학영어회화1,0APR1171,77,2.0,텐진 버제스,화5~6,기초교양, 
374,대학영어회화1,0APR1171,78,2.0,조나단 레이커,화5~6,기초교양, 
375,대학영어회화1,0APR1171,79,2.0,제임스,화5~6,기초교양, 
376,대학영어회화1,0APR1171,80,2.0,권지영,수1~2,기초교양, 
377,대학영어회화1,0APR1171,81,2.0,다니엘베리,수1~2,기초교양, 
378,대학영어회화1,0APR1171,82,2.0,바이런,수1~2,기초교양, 
379,대학영어회화1,0APR1171,83,2.0,마이클,수1~2,기초교양, 
380,대학영어회화1,0APR1171,84,2.0,제임스,수1~2,기초교양, 
381,대학영어회화1,0APR1171,85,2.0,피터안토니,수1~2,기초교양, 
382,대학영어회화1,0APR1171,86,2.0,벤자민 스웬슨,수1~2,기초교양, 
383,대학영어회화1,0APR1171,87,2.0,마이클,수5~6,기초교양, 
384,대학영어회화1,0APR1171,88,2.0,텐진 버제스,수5~6,기초교양, 
385,대학영어회화1,0APR1171,89,2.0,최승준,수5~6,기초교양, 
386,대학영어회화1,0APR1171,90,2.0,바이런,수7~8,기초교양, 
387,대학영어회화1,0APR1171,91,2.0,유진박,수7~8,기초교양, 
388,대학영어회화1,0APR1171,92,2.0,최승준,수7~8,기초교양, 
389,대학영어회화1,0APR1171,93,2.0,제임스,수7~8,기초교양, 
390,대학영어회화1,0APR1171,94,2.0,피터안토니,수7~8,기초교양, 
391,대학영어회화1,0APR1171,95,2.0,다니엘와이버그,목1~2,기초교양, 
392,대학영어회화1,0APR1171,96,2.0,브라이언,목1~2,기초교양, 
393,대학영어회화1,0APR1171,97,2.0,켄딕슨,목1~2,기초교양, 
394,대학영어회화1,0APR1171,98,2.0,다니엘베리,목1~2,기초교양, 
395,대학영어회화1,0APR1171,99,2.0,다니엘와이버그,목3~4,기초교양, 
396,대학영어회화1,0APR1171,A0,2.0,브라이언,목3~4,기초교양, 
397,대학영어회화1,0APR1171,A1,2.0,매튜,목3~4,기초교양, 
398,대학영어회화1,0APR1171,A2,2.0,다니엘베리,목3~4,기초교양, 
399,대학영어회화1,0APR1171,A3,2.0,유진박,목3~4,기초교양, 
400,대학영어회화1,0APR1171,A4,2.0,최승준,목3~4,기초교양, 
401,대학영어회화1,0APR1171,A5,2.0,조나단 레이커,목3~4,기초교양, 
402,대학영어회화1,0APR1171,A6,2.0,권지영,목3~4,기초교양, 
403,대학영어회화1,0APR1171,A7,2.0,허친슨,목3~4,기초교양, 
404,대학영어회화1,0APR1171,A8,2.0,켄딕슨,목5~6,기초교양, 
405,대학영어회화1,0APR1171,A9,2.0,제임스,목5~6,기초교양, 
406,대학영어회화1,0APR1171,B0,2.0,제임스,목7~8,기초교양, 
407,대학영어회화1,0APR1171,B1,2.0,매튜,목7~8,기초교양, 
408,대학영어회화1,0APR1171,B2,2.0,유진박,목7~8,기초교양, 
409,대학영어회화1,0APR1171,B3,2.0,벤자민 스웬슨,수7~8,기초교양, 
410,대학영어회화1,0APR1171,B4,2.0,텐진 버제스,수7~8,기초교양, 
411,대학영어회화1,0APR1171,C0,2.0,네일,월1~2,기초교양, 
412,대학영어회화1,0APR1171,C1,2.0,네일,월3~4,기초교양, 
413,대학영어회화1,0APR1171,C2,2.0,네일,수1~2,기초교양, 
414,대학영어회화1,0APR1171,C3,2.0,네일,목1~2,기초교양, 
415,대학영어회화1,0APR1171,C4,2.0,네일,목3~4,기초교양, 
416,대학영어회화1,0APR1171,C5,2.0,권지영,화3~4,기초교양, 
417,대학영어회화1,0APR1171,B5,2.0,지맥심,수3~4,기초교양, 
418,대학영어회화2,0APR1178,1,2.0,캐스퍼,월5~6,기초교양, 
419,대학영어회화2,0APR1178,2,2.0,아산티 매튜,월5~6,기초교양, 
420,대학영어회화2,0APR1178,3,2.0,사무엘,월5~6,기초교양, 
421,대학영어회화2,0APR1178,4,2.0,데이비드 데보라,월7~8,기초교양, 
422,대학영어회화2,0APR1178,5,2.0,아산티 매튜,월7~8,기초교양, 
423,대학영어회화2,0APR1178,6,2.0,허친슨,월7~8,기초교양, 
424,대학영어회화2,0APR1178,7,2.0,사무엘,월7~8,기초교양, 
425,대학영어회화2,0APR1178,8,2.0,알렉산더,화1~2,기초교양, 
426,대학영어회화2,0APR1178,9,2.0,사무엘,화1~2,기초교양, 
427,대학영어회화2,0APR1178,10,2.0,이혜빈,화1~2,기초교양, 
428,대학영어회화2,0APR1178,11,2.0,데렉 존 토마스,화1~2,기초교양, 
429,대학영어회화2,0APR1178,12,2.0,지맥심,화1~2,기초교양, 
430,대학영어회화2,0APR1178,13,2.0,알렉산더,화7~8,기초교양, 
431,대학영어회화2,0APR1178,14,2.0,이혜빈,화7~8,기초교양, 
432,대학영어회화2,0APR1178,15,2.0,지맥심,화7~8,기초교양, 
433,대학영어회화2,0APR1178,16,2.0,캐스퍼,화7~8,기초교양, 
434,대학영어회화2,0APR1178,17,2.0,로나 워싱턴,화7~8,기초교양, 
435,대학영어회화2,0APR1178,18,2.0,아산티 매튜,화7~8,기초교양, 
436,대학영어회화2,0APR1178,19,2.0,스테판,화7~8,기초교양, 
437,대학영어회화2,0APR1178,20,2.0,사무엘,화7~8,기초교양, 
438,대학영어회화2,0APR1178,21,2.0,이혜빈,수1~2,기초교양, 
439,대학영어회화2,0APR1178,22,2.0,캐스퍼,수1~2,기초교양, 
440,대학영어회화2,0APR1178,23,2.0,허친슨,수1~2,기초교양, 
441,대학영어회화2,0APR1178,24,2.0,아산티 매튜,수1~2,기초교양, 
442,대학영어회화2,0APR1178,25,2.0,데이비드데보라,수3~4,기초교양, 
443,대학영어회화2,0APR1178,26,2.0,켄딕슨,수3~4,기초교양, 
444,대학영어회화2,0APR1178,27,2.0,이혜빈,수3~4,기초교양, 
445,대학영어회화2,0APR1178,28,2.0,캐스퍼,월1~2,기초교양, 
446,대학영어회화2,0APR1178,29,2.0,로나 워싱턴,월1~2,기초교양, 
447,대학영어회화2,0APR1178,30,2.0,아산티 매튜,월1~2,기초교양, 
448,대학영어회화2,0APR1178,31,2.0,이혜빈,목3~4,기초교양, 
449,대학영어회화2,0APR1178,32,2.0,데렉 존 토마스,목3~4,기초교양, 
450,대학영어회화2,0APR1178,33,2.0,캐스퍼,목3~4,기초교양, 
451,대학영어회화2,0APR1178,34,2.0,아산티 매튜,목3~4,기초교양, 
452,대학영어회화2,0APR1178,35,2.0,사무엘,목3~4,기초교양, 
453,대학영어회화2,0APR1178,36,2.0,조나단 레이커,월1~2,기초교양, 
454,대학영어회화2,0APR1178,37,2.0,권지영,월1~2,기초교양, 
455,대학영어회화2,0APR1178,38,2.0,조나단 레이커,월5~6,기초교양, 
456,대학영어회화2,0APR1178,39,2.0,알렉산더,월5~6,기초교양, 
457,대학영어회화2,0APR1178,40,2.0,유진박,월5~6,기초교양, 
458,대학영어회화2,0APR1178,41,2.0,다니엘와이버그,화1~2,기초교양, 
459,대학영어회화2,0APR1178,42,2.0,켄딕슨,화1~2,기초교양, 
460,대학영어회화2,0APR1178,43,2.0,바이런,화7~8,기초교양, 
461,대학영어회화2,0APR1178,44,2.0,마이클,화7~8,기초교양, 
462,대학영어회화2,0APR1178,45,2.0,유진박,화7~8,기초교양, 
463,대학영어회화2,0APR1178,46,2.0,제임스,화7~8,기초교양, 
464,대학영어회화2,0APR1178,47,2.0,피터안토니,화7~8,기초교양, 
465,대학영어회화2,0APR1178,48,2.0,매튜,수5~6,기초교양, 
466,대학영어회화2,0APR1178,49,2.0,다니엘베리,수5~6,기초교양, 
467,대학영어회화2,0APR1178,50,2.0,텐진 버제스,목1~2,기초교양, 
468,대학영어회화2,0APR1178,51,2.0,조나단 레이커,목1~2,기초교양, 
469,대학영어회화2,0APR1178,52,2.0,권지영,목1~2,기초교양, 
470,대학영어회화2,0APR1178,60,2.0,네일,화1~2,기초교양, 
471,대학영어회화2,0APR1178,61,2.0,네일,화3~4,기초교양, 
472,대학영어회화2,0APR1178,62,2.0,네일,수3~4,기초교양, 
473,대학영어회화2,0APR1178,63,2.0,권지영,월3~4,기초교양, 
474,대학영어회화2,0APR1178,53,2.0,지맥심,수5~6,기초교양, 
475,대학영어회화2,0APR1178,54,2.0,지맥심,수7~8,기초교양, 
476,AI와컴퓨팅사고력,0APR1193,1,2.0,고윤미,"월5, 월13",기초교양, 
477,AI와컴퓨팅사고력,0APR1193,2,2.0,조명숙,"월3, 화13",기초교양, 
478,AI와컴퓨팅사고력,0APR1193,5,2.0,조명숙,"월4, 목13",기초교양, 
479,AI와컴퓨팅사고력,0APR1193,6,2.0,고윤미,"월4, 금13",기초교양, 
480,AI와컴퓨팅사고력,0APR1193,7,2.0,고윤미,"월3, 월14",기초교양, 
481,AI와컴퓨팅사고력,0APR1193,8,2.0,조명숙,"월5, 화14",기초교양, 
482,AI와컴퓨팅사고력,0APR1193,9,2.0,신좌철,"월4, 목14",기초교양, 
483,AI와컴퓨팅사고력,0APR1193,10,2.0,강제신,"월2, 금14",기초교양, 
484,AI와컴퓨팅사고력,0APR1193,11,2.0,김인주,"월2, 월15",기초교양, 
485,AI와컴퓨팅사고력,0APR1193,12,2.0,김달현,"월4, 화15",기초교양, 
486,AI와컴퓨팅사고력,0APR1193,13,2.0,김인주,"월3, 목15",기초교양, 
487,AI와컴퓨팅사고력,0APR1193,14,2.0,김달현,"월5, 금15",기초교양, 
488,AI와컴퓨팅사고력,0APR1193,15,2.0,신좌철,"월5, 월13",기초교양, 
489,AI와컴퓨팅사고력,0APR1193,16,2.0,최선주,"수5, 금15",기초교양, 
490,AI와컴퓨팅사고력,0APR1193,17,2.0,김달현,"월6, 목15",기초교양, 
491,AI와컴퓨팅사고력,0APR1193,18,2.0,신좌철,"월6, 화15",기초교양, 
492,AI와컴퓨팅사고력,0APR1193,19,2.0,양호경,"월15, 목6",기초교양, 
493,AI와컴퓨팅사고력,0APR1193,20,2.0,권영일,"목6, 금14",기초교양, 
494,AI와컴퓨팅사고력,0APR1193,21,2.0,김인주,"월1, 목14",기초교양, 
495,AI와컴퓨팅사고력,0APR1193,22,2.0,강제신,"월1, 화13",기초교양, 
496,AI와컴퓨팅사고력,0APR1193,23,2.0,전수진,"월14, 화5",기초교양, 
497,AI와컴퓨팅사고력,0APR1193,24,2.0,유정선,"화7, 화14",기초교양, 
498,AI와컴퓨팅사고력,0APR1193,25,2.0,유정선,"화8, 금13",기초교양, 
499,AI와컴퓨팅사고력,0APR1193,26,2.0,권영일,"화15, 목7",기초교양, 
500,AI와컴퓨팅사고력,0APR1193,27,2.0,오지연,"화7, 화15",기초교양, 
501,AI와컴퓨팅사고력,0APR1193,28,2.0,전수진,"화7, 화15",기초교양, 
502,AI와컴퓨팅사고력,0APR1193,29,2.0,유정선,"화6, 화15",기초교양, 
503,AI와컴퓨팅사고력,0APR1193,30,2.0,오지연,"월15, 화6",기초교양, 
504,AI와컴퓨팅사고력,0APR1193,31,2.0,양호경,"목8, 금14",기초교양, 
505,AI와컴퓨팅사고력,0APR1193,32,2.0,권영일,"목8, 목14",기초교양, 
506,AI와컴퓨팅사고력,0APR1193,33,2.0,양호경,"화14, 목7",기초교양, 
507,AI와컴퓨팅사고력,0APR1193,34,2.0,오지연,"월13, 화8",기초교양, 
508,AI와컴퓨팅사고력,0APR1193,35,2.0,전수진,"월14, 화6",기초교양, 
509,AI와컴퓨팅사고력,0APR1193,36,2.0,허민구,"화13, 수7",기초교양, 
510,AI와컴퓨팅사고력,0APR1193,37,2.0,허민구,"수5, 목13",기초교양, 
511,AI와컴퓨팅사고력,0APR1193,38,2.0,강제신,"월3, 금13",기초교양, 
512,AI와컴퓨팅사고력,0APR1193,39,2.0,최선주,"월13, 수6",기초교양, 
513,AI와컴퓨팅사고력,0APR1193,40,2.0,허민구,"월14, 수6",기초교양, 
514,AI와컴퓨팅사고력,0APR1193,41,2.0,최선주,"월15, 수7",기초교양, 
515,벤처와창업가정신,0APR1174,1,2.0,교수미정,화2~3,인성교양, 
516,벤처와창업가정신,0APR1174,2,2.0,최인우,화1~2,인성교양, 
517,벤처와창업가정신,0APR1174,3,2.0,진주영,화1~2,인성교양, 
518,벤처와창업가정신,0APR1174,4,2.0,정재욱,화5~6,인성교양, 
519,벤처와창업가정신,0APR1174,35,2.0,정재욱,화3~4,인성교양, 
520,벤처와창업가정신,0APR1174,36,2.0,진주영,화3~4,인성교양, 
521,벤처와창업가정신,0APR1174,5,2.0,박상희,월5~6,인성교양, 
522,벤처와창업가정신,0APR1174,6,2.0,하태관,월5~6,인성교양, 
523,벤처와창업가정신,0APR1174,7,2.0,김문준,월5~6,인성교양, 
524,벤처와창업가정신,0APR1174,8,2.0,박상희,월7~8,인성교양, 
525,벤처와창업가정신,0APR1174,9,2.0,김문준,월7~8,인성교양, 
526,벤처와창업가정신,0APR1174,10,2.0,하태관,월7~8,인성교양, 
527,벤처와창업가정신,0APR1174,11,2.0,진주영,수3~4,인성교양, 
528,벤처와창업가정신,0APR1174,12,2.0,채완기,목1~2,인성교양, 
529,벤처와창업가정신,0APR1174,13,2.0,김준홍,목1~2,인성교양, 
530,벤처와창업가정신,0APR1174,14,2.0,채완기,목3~4,인성교양, 
531,벤처와창업가정신,0APR1174,15,2.0,김준홍,목3~4,인성교양, 
532,벤처와창업가정신,0APR1174,16,2.0,지원현,수3~4,인성교양, 
533,벤처와창업가정신,0APR1174,17,2.0,이용규,화1~2,인성교양, 
534,벤처와창업가정신,0APR1174,18,2.0,진주영,수1~2,인성교양, 
535,벤처와창업가정신,0APR1174,19,2.0,서덕화,수5~6,인성교양, 
536,벤처와창업가정신,0APR1174,20,2.0,채완기,목5~6,인성교양, 
537,벤처와창업가정신,0APR1174,21,2.0,김준홍,목5~6,인성교양, 
538,벤처와창업가정신,0APR1174,22,2.0,이용규,화5~6,인성교양, 
539,벤처와창업가정신,0APR1174,23,2.0,한대희,화3~4,인성교양, 
540,벤처와창업가정신,0APR1174,24,2.0,신현곤,월3~4,인성교양, 
541,벤처와창업가정신,0APR1174,25,2.0,박상희,월3~4,인성교양, 
542,벤처와창업가정신,0APR1174,26,2.0,최인우,수2~3,인성교양, 
543,벤처와창업가정신,0APR1174,27,2.0,한대희,화5~6,인성교양, 
544,벤처와창업가정신,0APR1174,28,2.0,전영미,화7~8,인성교양, 
545,벤처와창업가정신,0APR1174,29,2.0,신현곤,수7~8,인성교양, 
546,벤처와창업가정신,0APR1174,30,2.0,교수미정,수7~8,인성교양, 
547,벤처와창업가정신,0APR1174,31,2.0,교수미정,수3~4,인성교양, 
548,벤처와창업가정신,0APR1174,32,2.0,한대희,화7~8,인성교양, 
549,벤처와창업가정신,0APR1174,33,2.0,정재욱,수3~4,인성교양, 
550,벤처와창업가정신,0APR1174,34,2.0,이용규,화3~4,인성교양, 
551,벤처와리더십,0APR1175,1,2.0,전영미,월5~6,인성교양, 
552,벤처와리더십,0APR1175,2,2.0,전영미,화2~3,인성교양, 
553,세계와기독교,0APR1185,1,2.0,고유식,목1~2,인성교양, 
554,세계와기독교,0APR1185,2,2.0,안근조,목1~2,인성교양, 
555,세계와기독교,0APR1185,3,2.0,기종서,목1~2,인성교양, 
556,세계와기독교,0APR1185,20,2.0,유은걸,목1~2,인성교양, 
557,세계와기독교,0APR1185,4,2.0,박미경,수1~2,인성교양, 
558,세계와기독교,0APR1185,5,2.0,허대영,화7~8,인성교양, 
559,세계와기독교,0APR1185,6,2.0,윤은석,수7~8,인성교양, 
560,세계와기독교,0APR1185,7,2.0,이영미,수7~8,인성교양, 
561,세계와기독교,0APR1185,8,2.0,이정근,수3~4,인성교양, 
562,세계와기독교,0APR1185,9,2.0,김덕기,화5~6,인성교양, 
563,세계와기독교,0APR1185,10,2.0,윤은석,수1~2,인성교양, 
564,세계와기독교,0APR1185,11,2.0,이정근,수1~2,인성교양, 
565,세계와기독교,0APR1185,12,2.0,이영미,수1~2,인성교양, 
566,세계와기독교,0APR1185,13,2.0,임태우,목3~4,인성교양, 
567,세계와기독교,0APR1185,14,2.0,김병석,목3~4,인성교양, 
568,세계와기독교,0APR1185,15,2.0,백현덕,화5~6,인성교양, 
569,세계와기독교,0APR1185,16,2.0,허대영,화5~6,인성교양, 
570,세계와기독교,0APR1185,17,2.0,양희선,화3~4,인성교양, 
571,세계와기독교,0APR1185,18,2.0,백현덕,화3~4,인성교양, 
572,세계와기독교,0APR1185,19,2.0,최성로,월3~4,인성교양, 
573,세계와기독교,0APR1185,21,2.0,윤상갑,수7~8,인성교양, 
574,세계와기독교,0APR1185,22,2.0,윤상갑,수1~2,인성교양, 
575,세계와기독교,0APR1185,23,2.0,박희상,월3~4,인성교양, 
576,세계와기독교,0APR1185,24,2.0,백현덕,화7~8,인성교양, 
577,세계와기독교,0APR1185,25,2.0,이정근,수7~8,인성교양, 
578,인간과기독교,0APR1172,1,2.0,기종서,목3~4,인성교양, 
579,인간과기독교,0APR1172,2,2.0,유은걸,목3~4,인성교양, 
580,인간과기독교,0APR1172,3,2.0,윤종진,목7~8,인성교양, 
581,인간과기독교,0APR1172,4,2.0,교수미정,목7~8,인성교양, 
582,인간과기독교,0APR1172,18,2.0,윤종진,목3~4,인성교양, 
583,인간과기독교,0APR1172,21,2.0,교수미정,목3~4,인성교양, 
584,인간과기독교,0APR1172,5,2.0,박희상,월1~2,인성교양, 
585,인간과기독교,0APR1172,6,2.0,박희상,월7~8,인성교양, 
586,인간과기독교,0APR1172,7,2.0,최성로,월7~8,인성교양, 
587,인간과기독교,0APR1172,8,2.0,윤은석,화1~2,인성교양, 
588,인간과기독교,0APR1172,9,2.0,윤은석,화3~4,인성교양, 
589,인간과기독교,0APR1172,10,2.0,허대영,화3~4,인성교양, 
590,인간과기독교,0APR1172,11,2.0,김병석,목5~6,인성교양, 
591,인간과기독교,0APR1172,12,2.0,박미경,목5~6,인성교양, 
592,인간과기독교,0APR1172,13,2.0,윤은석,수5~6,인성교양, 
593,인간과기독교,0APR1172,14,2.0,이영미,수5~6,인성교양, 
594,인간과기독교,0APR1172,15,2.0,윤상갑,수5~6,인성교양, 
595,인간과기독교,0APR1172,16,2.0,장혁재,화7~8,인성교양, 
596,인간과기독교,0APR1172,17,2.0,최성로,월5~6,인성교양, 
597,인간과기독교,0APR1172,19,2.0,박미경,목3~4,인성교양, 
598,인간과기독교,0APR1172,20,2.0,양희선,화1~2,인성교양, 
599,인간과기독교,0APR1172,22,2.0,임태우,목5~6,인성교양, 
600,인간과기독교,0APR1172,23,2.0,김덕기,화7~8,인성교양, 
601,인문과SW활용,0ARC9128,3,2.0,고윤미,"화2, 수13",대학기초, 
602,인문과SW활용,0ARC9128,6,2.0,정행섭,"화8, 수14",대학기초, 
603,인문과SW활용,0ARC9128,7,2.0,김영태,"화3, 수15",대학기초, 
604,인문과SW활용,0ARC9128,8,2.0,고윤미,"화3, 수14",대학기초, 
605,인문과SW활용,0ARC9128,9,2.0,정행섭,"화3, 수13",대학기초, 
606,인문과SW활용,0ARC9128,10,2.0,정행섭,"화4, 수15",대학기초, 
607,경영과SW활용,0ARC9129,2,2.0,김병철,"수1, 수14",대학기초, 
608,경영과SW활용,0ARC9129,3,2.0,김병철,"수2, 수15",대학기초, 
609,경영과SW활용,0ARC9129,4,2.0,고윤미,"화6, 목15",대학기초, 
610,경영과SW활용,0ARC9129,5,2.0,김영태,"화6, 금14",대학기초, 
611,경영과SW활용,0ARC9129,6,2.0,정행섭,"화6, 목14",대학기초, 
612,공학과SW활용,0ARC9132,1,2.0,이경희,"월7, 화13",대학기초, 
613,공학과SW활용,0ARC9132,2,2.0,문정경,"월7, 월15",대학기초, 
614,공학과SW활용,0ARC9132,3,2.0,권용준,"월7, 월14",대학기초, 
615,공학과SW활용,0ARC9132,4,2.0,교수미정,"월13, 목5",대학기초, 
616,공학과SW활용,0ARC9132,5,2.0,엄기순,"화2, 토13",대학기초, 
617,공학과SW활용,0ARC9132,6,2.0,문정경,"화2, 금15",대학기초, 
618,공학과SW활용,0ARC9132,7,2.0,문정경,"화3, 금14",대학기초, 
619,공학과SW활용,0ARC9132,8,2.0,엄기순,"화4, 금13",대학기초, 
620,공학과SW활용,0ARC9132,9,2.0,김영태,"수6, 목15",대학기초, 
621,공학과SW활용,0ARC9132,10,2.0,권용준,"수8, 목14",대학기초, 
622,공학과SW활용,0ARC9132,11,2.0,교수미정,"수15, 목4",대학기초, 
623,공학과SW활용,0ARC9132,20,2.0,박승만,목4~5,대학기초, 
624,문화예체능과SW활용,0ARC9130,1,2.0,김인주,"수1, 수15",대학기초, 
625,문화예체능과SW활용,0ARC9130,2,2.0,김인주,"수2, 수14",대학기초, 
626,문화예체능과SW활용,0ARC9130,4,2.0,김영태,"화14, 수8",대학기초, 
627,문화예체능과SW활용,0ARC9130,6,2.0,김영태,"화15, 수7",대학기초, 
628,생명보건과SW활용,0ARC9131,1,2.0,교수미정,"월3, 금15",대학기초, 
629,생명보건과SW활용,0ARC9131,2,2.0,이경희,"월3, 금13",대학기초, 
630,생명보건과SW활용,0ARC9131,3,2.0,교수미정,"월2, 목13",대학기초, 
631,생명보건과SW활용,0ARC9131,4,2.0,교수미정,"월4, 수13",대학기초, 
632,융합과SW활용,0ARC9133,1,2.0,엄기순,"화6, 수14",대학기초, 
633,융합과SW활용,0ARC9133,7,2.0,김병철,"목1, 목13",대학기초, 
634,융합과SW활용,0ARC9133,8,2.0,교수미정,"수13, 목2",대학기초, 
635,융합과SW활용,0ARC9133,9,2.0,문정경,"화15, 수4",대학기초, 
636,융합과SW활용,0ARC9133,10,2.0,김인주,"화14, 수4",대학기초, 
637,융합과SW활용,0ARC9133,11,2.0,권용준,"화13, 수1",대학기초, 
638,수학의이해1,0ARC9118,1,3.0,배수기,"월1~2, 화7~8",대학기초, 
639,수학의이해1,0ARC9118,2,3.0,박영자,"수1~2, 목5~6",대학기초, 
640,수학의이해1,0ARC9118,3,3.0,이경복,"월3~4, 수7~8",대학기초, 
641,수학의이해1,0ARC9118,4,3.0,김현정,"월3~4, 화5~6",대학기초, 
642,수학의이해1,0ARC9118,5,3.0,박용범,"수1~2, 목7~8",대학기초, 
643,수학의이해1,0ARC9118,6,3.0,하용선,"월7~8, 화7~8",대학기초, 
644,수학의이해1,0ARC9118,7,3.0,박영자,"화5~6, 수3~4",대학기초, 
645,수학의이해1,0ARC9118,8,3.0,이경복,"화5~6, 목1~2",대학기초, 
646,수학의이해1,0ARC9118,9,3.0,이경복,"월1~2, 화7~8",대학기초, 
647,수학의이해1,0ARC9118,10,3.0,김현정,"월1~2, 화7~8",대학기초, 
648,수학의이해1,0ARC9118,11,3.0,김귀석,"월3~4, 수1~2",대학기초, 
649,수학의이해1,0ARC9118,12,3.0,박영자,"화1~2, 수7~8",대학기초, 
650,수학의이해1,0ARC9118,13,3.0,박차식,"월2~3, 수6~7",대학기초, 
651,수학의이해1,0ARC9118,14,3.0,하용선,"화1~2, 목7~8",대학기초, 
652,수학의이해1,0ARC9118,15,3.0,박용범,"수5~6, 목5~6",대학기초, 
