,과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역
70,문화로배우는이탈리아어,0ARB5641,7,2.0,안형렬,수7~8,일반교양,4.0
71,영화와법률,0ARB0302,7,2.0,정영훈,월3~4,일반교양,4.0
72,글로벌시대의한국,0ARB2021,7,2.0,치아오 춘옌,수3~4,일반교양,4.0
73,천안의이해,0ARB3000,7,2.0,이성희,수7~8,일반교양,4.0
74,빅데이터로배우는성격심리학,0ARG1221,7,3.0,이상매,목2~4,일반교양,4.0
75,예술과AI,0ARG1242,7,2.0,이은영,월2~3,일반교양,4.0
76,현대사회의사운드아트,0ARG1269,7,2.0,이은영,목4~5,일반교양,4.0
77,자아탐색을위한자아실현,0ARG1325,7,2.0,데렉 존 토마스,수1~2,일반교양,4.0
78,AI시대예수읽기,0ARG1326,7,2.0,이승현,목6~7,일반교양,4.0
79,문화속의과학기술과음악,0ARG1148,9,3.0,이은영,월5~7,일반교양,4.0
80,공간이만드는심리세계,0ARG1280,9,2.0,정성욱,화2~3,일반교양,4.0
81,전쟁과평화,0ARG1250,1,2.0,김기정,화3~4,일반교양,1.0
82,가치로서의자연과인간,0ARB0135,2,2.0,이세진,목5~6,일반교양,1.0
83,실용생활중국어,0ARB5660,2,2.0,슈메이,목1~2,일반교양,1.0
84,기초중국어,0ARB5680,2,2.0,슈메이,월1~2,일반교양,1.0
85,비즈니스중국어,0ARB5691,2,2.0,슈메이,목3~4,일반교양,1.0
86,초급영작문,0ARB5720,2,2.0,브라이언,목7~8,일반교양,1.0
87,초급생활독일어,0ARG1051,2,2.0,문윤덕,수3~4,일반교양,1.0
88,한국어읽기2,0ARG1070,2,2.0,윤은영,수3~4,일반교양,1.0
89,한국어읽기1,0ARG1108,2,2.0,정다정,화5~6,일반교양,1.0
90,한국사,0ARB0205,2,2.0,노혜경,화3~4,일반교양,1.0
91,취업중국어,0ARB5685,2,2.0,슈메이,월3~4,일반교양,1.0
92,그리스로마신화,0ARB6550,2,2.0,문윤덕,화5~6,일반교양,1.0
93,영화분석과리뷰,0ARG1023,2,2.0,강만진,수6~7,일반교양,1.0
94,세계사,0ARG1030,2,2.0,데이비드 데보라,목4~5,일반교양,1.0
95,현대미술과애니메이션,0ARG1049,2,2.0,김윤경,수1~2,일반교양,1.0
